Sr,Job Title,Company Name,Salary,Location,Job Url
1,Solar Technician,Rider Security & Allied Services®,"1,50,000 To 2,25,000 p.a.","Jammu, Jammu and Kashmir",https://in.talent.com/view?id=87dee943c0a5
2,"RSM (Batteries)-Ludhiana (To Sell in Punjab state Automotive/Inverter/Solar, Car & Truck Batteries)",P & I Management Consultants,660000-780000,"Ludhiana, Punjab",https://in.talent.com/view?id=cb77f891746d
3,Manager Marketing & Business Development,STELLAR SOLAR SOLUTIONS,Not Available,"Ludhiana, Punjab",https://in.talent.com/view?id=4441ba87b784
4,Area Manager - Agency - Life Insurance -Solan,Lavya Associates,Not Available,"Solan, Himachal Pradesh",https://in.talent.com/view?id=2d623dfffeb9
5,Jr Asset Manager (Solar Rooftop),Artha Group of Companies,Not Available,Delhi,https://in.talent.com/view?id=e63bc524241f
6,Sr Manager - Solar Project commercial sales,Confidential,540000-969999,Delhi,https://in.talent.com/view?id=399a78cccbb4
7,Solar Energy Specialist,Bechtel Corporation,Not Available,Delhi,https://in.talent.com/view?id=20833157a99c
8,Exeo Energy Solar Trade Assistant  Roofer,Exeo Energy,"2,00,000 To 3,50,000 p.a.",Delhi,https://in.talent.com/view?id=32f8f47ed178
9,Sales (Solar),K D Groups,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=80fe7f2659d5
10,Sales Executive,Photovoltaic Solar,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=a7489526c2ae
11,Solar Performance Analyst,Prescinto,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=a0a487b6c599
12,Sales Support Executive,Canadian Solar Inc.,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=42a4cafb8860
13,Solar Energy Specialist,Bechtel,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=28539e6b42c2
14,Energy Engineer - Solar & Storage,ICF,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=bcec1a796626
15,"AppDynamics, Solar Winds  Engineer- L3",DCM Infotech,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=789a88f2c698
16,Specialist (Solar),NTPC Limited,Not Available,"New Delhi, Delhi",https://in.talent.com/view?id=29ddb82c096c
17,Senior Manager - Procurement - Solar OEM,Megma Services,Not Available,"Delhi, Delhi",https://in.talent.com/view?id=b92dbae525dc
18,"Monitoring L0 & L1 Network monitoring, Solar Winds, Nagios, Cacti",NetConnect Global,Not Available,"Gurgaon, Haryana",https://in.talent.com/view?id=150eaf1cfd3c
19,Solar Pv Installer Trainer,Not Disclosed,"1,75,000 To 2,25,000 p.a.","Rewari, Haryana",https://in.talent.com/view?id=e98b17b9ca35
20,Urgent Hiring for R&D Engineer Solar Lighting,Space Consultants,3  Lac  25 Thousand  To  4  Lac  50 Thousand  P.A.,"Ghaziabad, Uttar Pradesh",https://in.talent.com/view?id=a7856f08b548
21,Validation Engineer Solar,Philips Lighting Signify,Not Available,"Noida, Uttar Pradesh",https://in.talent.com/view?id=0f74f9d404a2
22,Validation Engineer Solar,Signify,Not Available,"Noida, Uttar Pradesh",https://in.talent.com/view?id=545fa2554b62
23,Video Editor,Loom Solar Private Limited,0 - 1.8 lacs/annum,"Faridabad, Haryana",https://in.talent.com/view?id=dd9d5ba36d68
24,INSIDE SALES INTERNSHIP.,LOOM SOLAR,"INR 7,999 per month","Faridabad, Haryana",https://in.talent.com/view?id=aaa3a87a09d8
25,Electrical Engineer,Mundra Solar Techno park Pv Ltd,Not Available,"Jaipur, Rajasthan",https://in.talent.com/view?id=c7fbe6ea1617
26,ASM / RSM / Sales Executive (Solar - Panel & Molds /Project Sale),Aakash Kamal Enterprises,300000-760000,"Gandhinagar, Gujarat",https://in.talent.com/view?id=18f96b2cd5b9
27,ASM / RSM / Sales Executive (Solar - Panel & Molds /Project Sale),Aakash Kamal Enterprises,300000-760000,"Gandhinagar, Gujarat",https://in.talent.com/view?id=18f96b2cd5b9
28,Solar Sales Professional,Shankheswar Parshwanath Impex,300000-600000,"Ahmedabad, Gujarat",https://in.talent.com/view?id=0a40af39a159
29,CIEL/SEL/20171: AGM-DGM - Maintenance (Cell Division - Solar),CIEL HR Services,Not Available,"Ahmedabad, Gujarat",https://in.talent.com/view?id=54db00bafb8a
30,Business Developer Executive solar system,Talent Max,3.50 – 5 .50 Lacs,"Bhopal, Madhya Pradesh",https://in.talent.com/view?id=3f979cea2903
31,Solar Panel - Sales Executive,GC HR Solutions LLP,Not Available,"Vadodara, Gujarat",https://in.talent.com/view?id=19db8eb68f20
32,Account Executive,Pahal Solar,Not Available,"Surat, Gujarat",https://in.talent.com/view?id=b00438b9648b
33,WalkIn_Solar Engineer,D Source,96000-120000,"Nashik, Maharashtra",https://in.talent.com/view?id=072e38ebd0c7
34,Head Of Solar Product Services,STS,Not Available,"India, India",https://in.talent.com/view?id=e47bf841a385
35,Graphic Designer - eCommerce DTC,SOLARA Home,Not Available,"India, India",https://in.talent.com/view?id=f885629a8fe3
36,Inside Sales Energy Advisor - Rooftop Solar,ExpansionJS,Not Available,India,https://in.talent.com/view?id=775ac48b5fb3
37,Opening for Sales Co-ordinator for Solar Project,e27 media platform,Not Available,India,https://in.talent.com/view?id=ede5f72f9ee5
38,Manager- Solar Execution (1361),Dmart,Not Available,India,https://in.talent.com/view?id=9d86b3730a18
39,Accounts Executive/Accounts Manager,Vivaan Solar,Not Available,INDIA,https://in.talent.com/view?id=3ffb3b410292
40,Sun Technicians : Solar PV Utility &/or RoofTop,powersun india pvt. ltd,Not Available,INDIA,https://in.talent.com/view?id=fa14f159ac9d
41,SOLAR SITE PROJECT MANAGER,IMR India,Not Available,INDIA,https://in.talent.com/view?id=541d87cf87e2
42,Senior Associate - Solar Energy & Battery Storage Systems  Technical Advisory,ERM INDIA PVT. LTD,Not Available,INDIA,https://in.talent.com/view?id=0f76999cac94
